doctor_id,full_name,specialization,department_id,hospital_id,phone_no,record_start,record_end
D00001,Dr. William JENKINS,Oncology,DEP06,H02,8152462504,2023-05-21,2024-03-07
D00002, Dr. Cathy majeed ,Orthopedics,DEP02,H04,+1-740-807-2720x08099,2023-03-12,
D00003,Dr. Yafi Maheen,Neurology,DEP02,H01,001-443-647-5209x3613,2023-03-30,
D00004,Dr.  Ihtesham  Umaarah,Cardiology,DEP08,H05,347.533.2162,2023-01-10,
D00005, Dr. K@uth@r ge0rge ,Cardiology,DEP05,H03,+1-409-344-7211x5267,2023-03-09,
D00006,"dr. ghaith idris,",ENT,DEP04,H01,8208506026,2023-02-27,2023-11-26
D00007,Dr.  Emran  ubaid,ENT,DEP10,H04,461.372.1971x29167-,2023-05-07,2024-03-24
D00008,DR. QATADAH THOMAS_,pediatrics,DEP03,H02,+1-620-817-0863x950,2023-06-30,
D00009,Dr. Jared webb,Oncology,DEP07,H01,(772)744-1299,2023-04-27,
D00010,Dr. M@d Om@ir,Neurology,DEP06,H05,+1-477-497-7412x683,2023-05-30,2024-05-16
D00011,Dr. Dustin Il@n,cardiology,DEP10,H05,001-495-743-3032x33360,2023-05-06,
D00012,Dr. Jessica radi,Oncology,DEP02,H05,001-778-600-2193x4420,2023-02-17,
D00013,Dr. Alex Cooper,Cardiology-,DEP09,H04,(440)292-0040,2023-03-20,2024-01-02
D00014,Dr. Frank Q@beel,Neurology,DEP04,H04,(567)396-4334,2023-04-24,
D00015,dr. @zeeb h0w@rd,Orthopedics,DEP03,H05, (226)987-7412X239 ,2023-02-03,2023-12-29
D00016,dr. katherine le,Oncology,DEP05,H01,898.904.5796x365,2023-03-25,2023-09-22
D00017,Dr. Labeeb Mad,ENT,DEP06,H02,4019046120,2023-04-12,
D00018,dr. anth0ny bryant,ent,DEP06,H01,344-605-0782x70306.,2023-02-03,2023-10-28
D00019,"Dr. Raees Mills,",Oncology,DEP04,H02,(866)338-3933.,2023-04-07,
D00020,Dr. stephanie Rafay,Cardiology,DEP09,H02,(477)742-8758,2023-06-24,
D00021,Dr. Gulz@r Naeem_,Neurology,DEP08,H01,(790)738-8302x4079,2023-03-19,2023-11-06
D00022,dr. muzdahir gordon,PEDIATRICS,DEP06,H05, 725.799.3627x2337 ,2023-03-05,2023-12-15
D00023,dr. taamir luay_,ent,DEP04,H01, +1-520-772-4332x28619 ,2023-04-12,
D00024,Dr. todd Aamir,Cardiology,DEP07,H02,001-689-378-4745x816,2023-02-11,2023-10-05
D00025,Dr. Mahfooz James,ent,DEP01,H02, 571-525-1932x698 ,2023-01-03,2023-09-07
D00026,Dr. Emily QABEEL, Oncology ,DEP05,H04,5515926843,2023-06-06,2024-06-02
D00027,DR. VINCENT BIZHAN,Orthopedics,DEP03,H02,590.478.7324x897,2023-05-07,
D00028,dr. dakhil taylor-,PEDIATRICS,DEP06,H03,603-868-8435,2023-03-30,2024-02-25
D00029, Dr. Majd Watson ,ent,DEP05,H01,001-496-755-5416x263.,2023-05-07,2023-11-26
D00030,"Dr. Wendy Lopez,", Neurology ,DEP01,H02,+1-695-822-5945,2023-02-14,
D00031,Dr. Leslie Zahur,ENT,DEP09,H03,(855)744-1446x739,2023-06-23,2024-03-09
